gml_id,dg_id,address,building_type_gml,year_of_construction,renovation_status,floor_area,height,storeys_above_ground,average_floor_height
BLDG_0003000a00116893,0,"Berlin,14,Mindener Str.",1169,,,289.279052734375,21.77232,,2.8
BLDG_0003000000bca3c5,1,"Berlin,20,Osnabrücker Str.",1231,,,241.03466796875,22.23,,2.8
BLDG_0003000b00040249,2,"Berlin,10,Mindener Str.",1231,,,207.767822265625,18.42627,,2.8
BLDG_0003000a00116895,3,"Berlin,15,Tegeler Weg",1231,,,177.535400390625,27.88921,,2.8
BLDG_0003000b0004024b,4,"Berlin,12,Mindener Str.",1231,,,250.36181640625,21.42424,,2.8
BLDG_0003000b0004024d,5,"Berlin,11,Mindener Str.",1231,,,262.38427734375,22.59374,,2.8
BLDG_0003000b00040251,6,"Berlin,13,Mindener Str.",1231,,,424.2373046875,20.91778,,2.8
BLDG_0003000e00234d7b,7,"Berlin,32,Kamminer Str.",1231,,,507.650390625,23.45825,,2.8
BLDG_0003000e00234d84,8,"Berlin,22,Osnabrücker Str.",1231,,,555.506591796875,23.7812,,2.8
BLDG_0003000e00234d86,9,"Berlin,21,Osnabrücker Str.",1231,,,561.568115234375,21.79843,,2.8
BLDG_0003000e00234d89,10,"Berlin,31,Kamminer Str.",1231,,,552.342041015625,20.54587,,2.8
BLDG_0003000e00234d93,11,"Berlin,20,Osnabrücker Str.",1231,,,196.70556640625,23.37047,,2.8
BLDG_0003000e00234d91,12,"Berlin,18,Osnabrücker Str.",1231,,,101.15771484375,22.31037,,2.8
BLDG_0003000f000b78dc,13,"Berlin,9,Mindener Str.",1231,,,631.235595703125,24.67181,,2.8
BLDG_0003000e00750026,14,"Berlin,9,Osnabrücker Str.",1231,,,434.18310546875,23.32317,,2.8
BLDG_0003000f0016e4c2,15,"Berlin,17,Osnabrücker Str.",1231,,,742.165283203125,24.06982,,2.8
DEB_LOD2_UUID_44fcbbdf-cc05-4e8a-aa1b-22f0adb452d9,16,"Germany,Berlin",,,,363.120849609375,21.36,,2.8